latitude,longitude,elevation,slope,aspect,curvature,soil_moisture,label,twi
27.6022,88.6463,1578.0,8.317918871896588,41.57337355150662,-1.0,0.34327942,1,11.686155
27.4975,88.5348,1193.0,20.508342318168506,357.52242442029086,6.0,0.39361933,1,16.955301
27.4005,88.5135,894.0,53.65232429628262,145.58536063879012,-9.0,0.30612543,1,12.379303
27.2341,88.4977,458.0,29.361958569801097,97.44696576368142,6.0,0.2950465,1,12.784767
27.1751,88.5333,302.0,1.0469898661202004,41.57337355150662,4.0,0.30933088,1,10.993009
27.6171,88.61906,1870.0,24.50371761059636,181.0163329895667,6.0,0.36577863,1,10.993009
27.59805,88.60393,3412.0,47.87602592504248,139.68027945407363,12.0,0.39125738,1,11.398474
27.62163,88.69027,2310.0,17.2718155754347,290.5959182122825,-1.0,0.3054572,1,15.411849
27.64789,88.63953,3929.0,35.06177117369774,47.01310769093851,4.0,0.33938366,1,11.686155
27.59518,88.64833,1768.0,34.20669736339316,201.26915903025392,5.0,0.34233117,1,12.245771
27.59518,88.60356,3190.0,41.07360728983033,149.63120078018255,-25.0,0.3932139,1,12.602446
27.64958,88.62997,3525.0,33.43863609233214,39.9988125387211,2.0,0.3447967,1,12.09162
27.62522,88.64963,2874.0,31.144057247189195,120.35065600975211,-19.0,0.33625162,1,13.007911
27.58812,88.61177,3134.0,44.80753164561328,152.88352568845687,-4.0,0.38777393,1,11.909299
27.61848,88.65757,2040.0,39.75105107945637,150.60103975675628,-3.0,0.33014688,1,12.09162
27.5883,88.62828,2786.0,27.721451793415365,220.25432653311984,8.0,0.36755556,1,11.686155
27.58823,88.63755,2391.0,31.80013896905354,222.6912660760156,14.0,0.35651425,1,14.1065235
27.60946,88.62825,1844.0,34.34286666608243,235.9244323613128,-2.0,0.36004868,1,12.09162
27.5448,88.70187,3061.0,37.11440719426606,358.77556041084995,9.0,0.28831017,1,16.020172
27.55045,88.6459,1338.0,31.70896856825577,78.94300312847236,0.0,0.32312527,1,10.993009
27.58533,88.61457,3290.0,42.94259386344032,275.9025183676462,-1.0,0.3857793,1,10.993009
27.57182,88.67098,2156.0,39.06262829478129,51.44283454936078,16.0,0.29160857,1,15.698024
27.61163,88.60967,2178.0,28.262165927668715,287.25980135379257,12.0,0.37750116,1,12.697756
27.50377,88.54474,1440.0,38.46097205462971,40.26444173676822,0.0,0.39296278,1,12.09162
27.43871,88.56407,2467.0,38.935263895635394,298.28330253828943,-9.0,0.33243772,1,11.686155
27.45765,88.52042,914.0,24.16718403810736,270.58190998605073,15.0,0.34193015,1,11.686155
27.50341,88.52923,938.0,28.253939394674155,14.817976833480714,-2.0,0.39301986,1,10.993009
27.51965,88.50161,1512.0,10.720290397296306,236.38140728113405,4.0,0.416677,1,12.497086
27.50264,88.49891,1858.0,25.288047186410648,209.75354678748124,3.0,0.41782922,1,11.398474
27.49403,88.55918,1991.0,27.5037985143348,309.0667554779429,-1.0,0.359952,1,13.007911
27.48847,88.57549,2634.0,28.970892084928863,76.18937947552035,-6.0,0.357063,1,12.245771
27.45314,88.53264,1391.0,20.70468641295342,8.611487908962602,7.0,0.33959144,1,17.407286
27.4759,88.56491,1895.0,33.16779489790543,15.791701142126271,-29.0,0.35087228,1,10.993009
27.48368,88.54565,1555.0,35.8034224785281,52.20374423318424,-8.0,0.3547243,1,12.379303
